"Newstead","Newstead","43.0196","-78.5223","United States","US","USA","New York","","8675","1840087722"
"Scott","Scott","30.2398","-92.0947","United States","US","USA","Louisiana","","8675","1840015932"
"Barvynkove","Barvynkove","48.9067","37.0131","Ukraine","UA","UKR","Kharkivs’ka Oblast’","","8660","1804415450"
"Nádudvar","Nadudvar","47.4167","21.1667","Hungary","HU","HUN","Hajdú-Bihar","","8636","1348692293"
"Westampton","Westampton","40.0168","-74.8213","United States","US","USA","New Jersey","","8672","1840081634"
"Minto","Minto","43.9167","-80.8667","Canada","CA","CAN","Ontario","","8671","1124000198"
"Dunaföldvár","Dunafoldvar","46.8000","18.9167","Hungary","HU","HUN","Tolna","","8593","1348165944"
"Jalhay","Jalhay","50.5572","5.9642","Belgium","BE","BEL","Wallonia","","8590","1056772440"
"Zoppola","Zoppola","45.9667","12.7667","Italy","IT","ITA","Friuli-Venezia Giulia","","8483","1380194747"
"Incline Village","Incline Village","39.2639","-119.9453","United States","US","USA","Nevada","","8669","1840033809"
"Glenshaw","Glenshaw","40.5391","-79.9735","United States","US","USA","Pennsylvania","","8669","1840026474"
"Mount Pleasant","Mount Pleasant","40.9625","-91.5452","United States","US","USA","Iowa","","8668","1840000888"
"Cresskill","Cresskill","40.9405","-73.9596","United States","US","USA","New Jersey","","8668","1840003539"
"Earlimart","Earlimart","35.8824","-119.2715","United States","US","USA","California","","8668","1840019032"
"Morden","Morden","49.1919","-98.1006","Canada","CA","CAN","Manitoba","","8668","1124327817"
"La Libertad","La Libertad","16.7804","-90.1200","Guatemala","GT","GTM","Petén","minor","8646","1320389989"
"Seebad Heringsdorf","Seebad Heringsdorf","53.9543","14.1672","Germany","DE","DEU","Mecklenburg-Western Pomerania","","8443","1276401449"
"Hakubachō","Hakubacho","36.6982","137.8619","Japan","JP","JPN","Nagano","","8621","1392038720"
"Hawthorn Woods","Hawthorn Woods","42.2313","-88.0623","United States","US","USA","Illinois","","8666","1840011154"
"Cologna Veneta","Cologna Veneta","45.3167","11.3833","Italy","IT","ITA","Veneto","","8468","1380368257"
"Volvera","Volvera","44.9500","7.5000","Italy","IT","ITA","Piedmont","","8639","1380144754"
"Unterwellenborn","Unterwellenborn","50.6586","11.4419","Germany","DE","DEU","Thuringia","","8513","1276207968"
"Ferreira do Zêzere","Ferreira do Zezere","39.7000","-8.2833","Portugal","PT","PRT","Santarém","minor","8619","1620885794"
"Ulstein","Ulstein","62.3564","5.8539","Norway","NO","NOR","Møre og Romsdal","","8575","1578619519"
"Caerano di San Marco","Caerano di San Marco","45.7853","12.0042","Italy","IT","ITA","Veneto","","8000","1380877910"
"Bientina","Bientina","43.7072","10.6206","Italy","IT","ITA","Tuscany","","8377","1380476085"
"Reginópolis","Reginopolis","-21.8878","-49.2250","Brazil","BR","BRA","São Paulo","","8640","1076245325"
"Middlebury","Middlebury","44.0043","-73.1223","United States","US","USA","Vermont","","8661","1840070864"
"Marlborough","Marlborough","41.6338","-73.9903","United States","US","USA","New York","","8660","1840087655"
"Yeşilhisar","Yesilhisar","38.3500","35.0867","Turkey","TR","TUR","Kayseri","minor","8647","1792717556"
"Vigliano Biellese","Vigliano Biellese","45.5617","8.1117","Italy","IT","ITA","Piedmont","","7738","1380417389"
"Lakhzazra","Lakhzazra","33.0333","-7.0500","Morocco","MA","MAR","Casablanca-Settat","","8582","1504277663"
"Marcoussis","Marcoussis","48.6417","2.2297","France","FR","FRA","Île-de-France","","8171","1250911093"
"Foyos","Foyos","39.5386","-0.3567","Spain","ES","ESP","Valencia","","7502","1724091481"
"Santhià","Santhia","45.3667","8.1667","Italy","IT","ITA","Piedmont","","8496","1380355392"
"Bushtyno","Bushtyno","48.0503","23.4894","Ukraine","UA","UKR","Zakarpats’ka Oblast’","","8562","1804233916"
"Sombreffe","Sombreffe","50.5167","4.6000","Belgium","BE","BEL","Wallonia","","8420","1056974032"
"Hoquiam","Hoquiam","46.9863","-123.9022","United States","US","USA","Washington","","8655","1840019845"
"Chandpur","Chandpur","22.1623","88.3602","India","IN","IND","West Bengal","","6777","1356912611"
"Sortino","Sortino","37.1667","15.0333","Italy","IT","ITA","Sicilia","","8561","1380166703"
"Vidavalūru","Vidavaluru","14.5942","80.0297","India","IN","IND","Andhra Pradesh","","8177","1356606977"
"Tunga","Tunga","11.2500","124.7500","Philippines","PH","PHL","Leyte","","7656","1608964667"
"Brigantine","Brigantine","39.4138","-74.3787","United States","US","USA","New Jersey","","8650","1840001533"
"Teterow","Teterow","53.7667","12.5667","Germany","DE","DEU","Mecklenburg-Western Pomerania","","8470","1276267195"
"Virgínia","Virginia","-22.3328","-45.0919","Brazil","BR","BRA","Minas Gerais","","8623","1076524366"
"Dobrada","Dobrada","-21.5167","-48.3939","Brazil","BR","BRA","São Paulo","","8592","1076112653"
"Le Poiré-sur-Vie","Le Poire-sur-Vie","46.7686","-1.5083","France","FR","FRA","Pays de la Loire","","8530","1250190722"
"Cabrils","Cabrils","41.5283","2.3692","Spain","ES","ESP","Catalonia","","7567","1724641668"
"Fishersville","Fishersville","38.1005","-78.9687","United States","US","USA","Virginia","","8647","1840006240"
"Kings Grant","Kings Grant","34.2665","-77.8659","United States","US","USA","North Carolina","","8647","1840032902"
"Concordia sulla Secchia","Concordia sulla Secchia","44.9124","10.9826","Italy","IT","ITA","Emilia-Romagna","","8440","1380859662"
"Kennedale","Kennedale","32.6434","-97.2173","United States","US","USA","Texas","","8645","1840019429"
"Biederitz","Biederitz","52.1608","11.7178","Germany","DE","DEU","Saxony-Anhalt","","8430","1276237569"
"Bang Len","Bang Len","14.0219","100.1719","Thailand","TH","THA","Nakhon Pathom","minor","8429","1764190686"
"Gūmmadidola","Gummadidola","17.6830","78.3700","India","IN","IND","Telangana","","8032","1356680547"
"Usiacurí","Usiacuri","10.7428","-74.9758","Colombia","CO","COL","Atlántico","minor","8561","1170893496"
"Reocín","Reocin","43.3611","-4.0864","Spain","ES","ESP","Cantabria","","8382","1724760087"
"Lienen","Lienen","52.1461","7.9739","Germany","DE","DEU","North Rhine-Westphalia","","8527","1276837503"
"Lambarkiyine","Lambarkiyine","33.2000","-7.5000","Morocco","MA","MAR","Casablanca-Settat","","8559","1504527523"
"Conkal","Conkal","21.0733","-89.5208","Mexico","MX","MEX","Yucatán","minor","7173","1484022909"
"San Sebastián","San Sebastian","18.3356","-66.9949","Puerto Rico","PR","PRI","Puerto Rico","","8640","1630023635"
"Matawan","Matawan","40.4127","-74.2365","United States","US","USA","New Jersey","","8640","1840003675"
"Andrushivka","Andrushivka","50.0167","29.0167","Ukraine","UA","UKR","Zhytomyrs’ka Oblast’","","8606","1804544646"
"Paddock Wood","Paddock Wood","51.1756","0.3955","United Kingdom","GB","GBR","Kent","","8263","1826300495"
"Monahans","Monahans","31.6289","-103.0403","United States","US","USA","Texas","","8639","1840036514"
"Elz","Elz","50.4167","8.0333","Germany","DE","DEU","Hesse","","8155","1276816660"
"Khājuri","Khajuri","21.8611","87.9480","India","IN","IND","West Bengal","","7471","1356912781"
"Großenlüder","Grossenluder","50.5925","9.5423","Germany","DE","DEU","Hesse","","8521","1276765103"
"San Sperate","San Sperate","39.3575","9.0083","Italy","IT","ITA","Sardegna","","8318","1380642850"
"Nefasīt","Nefasit","15.3333","39.0619","Eritrea","ER","ERI","Semēnawī K’eyih Bahrī","","8600","1232567577"
"Dorgali","Dorgali","40.2916","9.5876","Italy","IT","ITA","Sardegna","","8596","1380320991"
"Plabennec","Plabennec","48.5019","-4.4261","France","FR","FRA","Bretagne","","8465","1250109399"
"São Sebastião da Amoreira","Sao Sebastiao da Amoreira","-23.4650","-50.7608","Brazil","BR","BRA","Paraná","","8626","1076059061"
"Langueux","Langueux","48.4950","-2.7175","France","FR","FRA","Bretagne","","7776","1250511951"
"Adelsdorf","Adelsdorf","49.7112","10.8935","Germany","DE","DEU","Bavaria","","8366","1276049542"
"North Madison","North Madison","41.8298","-81.0511","United States","US","USA","Ohio","","8630","1840004801"
"Goundam","Goundam","16.4144","-3.6708","Mali","ML","MLI","Tombouctou","minor","8456","1466655191"
"Laishevo","Laishevo","55.4000","49.5500","Russia","RU","RUS","Tatarstan","","8604","1643137529"
"Takiéta","Takieta","13.6806","8.5292","Niger","NE","NER","Zinder","","8554","1562878014"
"Sarzeau","Sarzeau","47.5272","-2.7697","France","FR","FRA","Bretagne","","8487","1250153772"
"Oppenheim","Oppenheim","49.8556","8.3603","Germany","DE","DEU","Rhineland-Palatinate","","7562","1276015793"
"Prairie du Sac","Prairie du Sac","43.2920","-89.7353","United States","US","USA","Wisconsin","","8627","1840002726"
"Ustyuzhna","Ustyuzhna","58.8333","36.4333","Russia","RU","RUS","Vologodskaya Oblast’","","8622","1643553144"
"La Belleza","La Belleza","5.8575","-73.9656","Colombia","CO","COL","Santander","minor","8596","1170636722"
"Yasinia","Yasinia","48.2728","24.3747","Ukraine","UA","UKR","Zakarpats’ka Oblast’","","8579","1804338366"
"Lützen","Lutzen","51.2583","12.1417","Germany","DE","DEU","Saxony-Anhalt","","8546","1276691830"
"York","York","34.9967","-81.2340","United States","US","USA","South Carolina","","8623","1840015489"
"Tamballapalle","Tamballapalle","13.8994","78.4203","India","IN","IND","Andhra Pradesh","","8416","1356153377"
"Amapá","Amapa","2.0528","-50.7928","Brazil","BR","BRA","Amapá","","8622","1076834242"
"Hampstead","Hampstead","42.8821","-71.1709","United States","US","USA","New Hampshire","","8621","1840054954"
"Salem","Salem","40.0540","-111.6720","United States","US","USA","Utah","","8621","1840021395"
"Canford Cliffs","Canford Cliffs","50.7000","-1.9300","United Kingdom","GB","GBR","Bournemouth","","8620","1826721850"
"Saint-Rémy-lès-Chevreuse","Saint-Remy-les-Chevreuse","48.7058","2.0719","France","FR","FRA","Île-de-France","","7810","1250573035"
"Gavorrano","Gavorrano","42.9250","10.9083","Italy","IT","ITA","Tuscany","","8567","1380086730"
"Hyrum","Hyrum","41.6311","-111.8418","United States","US","USA","Utah","","8619","1840018699"
"Richlands","Richlands","37.0878","-81.8080","United States","US","USA","Virginia","","8618","1840006454"
"Ittiri","Ittiri","40.5908","8.5695","Italy","IT","ITA","Sardegna","","8541","1380429583"
"Kahl am Main","Kahl am Main","50.0681","9.0067","Germany","DE","DEU","Bavaria","","7877","1276382316"
"Oulad Khallouf","Oulad Khallouf","34.7167","-2.5833","Morocco","MA","MAR","Oriental","","8605","1504000678"
"Zuera","Zuera","41.8692","-0.7881","Spain","ES","ESP","Aragon","","8591","1724985911"
"Schieder-Schwalenberg","Schieder-Schwalenberg","51.8831","9.1831","Germany","DE","DEU","North Rhine-Westphalia","","8475","1276403786"
"Ladue","Ladue","38.6378","-90.3815","United States","US","USA","Missouri","","8616","1840008599"
"Rockland","Rockland","44.1274","-69.1369","United States","US","USA","Maine","","8616","1840000322"
"Lipki","Lipki","53.9500","37.7000","Russia","RU","RUS","Tul’skaya Oblast’","","8541","1643393830"
"Simmern","Simmern","49.9833","7.5167","Germany","DE","DEU","Rhineland-Palatinate","minor","7950","1276700169"
"Verkhoturye","Verkhoturye","58.8667","60.8000","Russia","RU","RUS","Sverdlovskaya Oblast’","","8612","1643322280"
"Kildare","Kildare","53.1569","-6.9090","Ireland","IE","IRL","Kildare","","7538","1372940357"
"Alamo Heights","Alamo Heights","29.4828","-98.4682","United States","US","USA","Texas","","8614","1840019653"
"Kosiv","Kosiv","48.3150","25.0953","Ukraine","UA","UKR","Ivano-Frankivs’ka Oblast’","minor","8522","1804417553"
"Oborniki Śląskie","Oborniki Slaskie","51.3014","16.9147","Poland","PL","POL","Dolnośląskie","","8476","1616398472"
"Leporano","Leporano","40.3822","17.3343","Italy","IT","ITA","Puglia","","8085","1380704169"
"Lauta","Lauta","51.4481","14.0997","Germany","DE","DEU","Saxony","","8411","1276023779"
"Le Grau-du-Roi","Le Grau-du-Roi","43.5372","4.1367","France","FR","FRA","Occitanie","","8457","1250684494"
"Schuylkill","Schuylkill","40.1086","-75.4982","United States","US","USA","Pennsylvania","","8611","1840141676"
"Reserve","Reserve","30.0741","-90.5557","United States","US","USA","Louisiana","","8611","1840013969"
"Takaharu","Takaharu","31.9283","131.0078","Japan","JP","JPN","Miyazaki","","8511","1392262891"
"Osternienburg","Osternienburg","51.8000","12.0167","Germany","DE","DEU","Saxony-Anhalt","","8549","1276698635"
"Orting","Orting","47.0966","-122.2111","United States","US","USA","Washington","","8610","1840019858"
"Ponte di Piave","Ponte di Piave","45.7167","12.4667","Italy","IT","ITA","Veneto","","8352","1380139061"
"Tuba City","Tuba City","36.1250","-111.2468","United States","US","USA","Arizona","","8609","1840018972"
"Mono","Mono","44.0167","-80.0667","Canada","CA","CAN","Ontario","","8609","1124001904"
"Rülzheim","Rulzheim","49.1556","8.2936","Germany","DE","DEU","Rhineland-Palatinate","","8121","1276215286"
"Untergruppenbach","Untergruppenbach","49.0833","9.2667","Germany","DE","DEU","Baden-Württemberg","","8304","1276135697"
"Baía Formosa","Baia Formosa","-6.3689","-35.0078","Brazil","BR","BRA","Rio Grande do Norte","","8573","1076300931"
"Francisco Santos","Francisco Santos","-6.9928","-41.1378","Brazil","BR","BRA","Piauí","","8592","1076258810"
"Monforte del Cid","Monforte del Cid","38.3792","-0.7303","Spain","ES","ESP","Valencia","","8500","1724092008"
"Kiuruvesi","Kiuruvesi","63.6528","26.6194","Finland","FI","FIN","Pohjois-Savo","minor","8600","1246969515"
"Muzo","Muzo","5.5297","-74.1044","Colombia","CO","COL","Boyacá","minor","8548","1170433861"
"Signal Mountain","Signal Mountain","35.1449","-85.3457","United States","US","USA","Tennessee","","8606","1840017859"
"Fairmount","Fairmount","39.7931","-105.1712","United States","US","USA","Colorado","","8606","1840038703"
"Sawang Daen Din","Sawang Daen Din","17.4750","103.4569","Thailand","TH","THA","Sakon Nakhon","minor","8486","1764712471"
"Pratápolis","Pratapolis","-20.7450","-46.8608","Brazil","BR","BRA","Minas Gerais","","8566","1076155274"
"Nonnweiler","Nonnweiler","49.6065","6.9694","Germany","DE","DEU","Saarland","","8477","1276189153"
"Canet de Berenguer","Canet de Berenguer","39.6794","-0.2206","Spain","ES","ESP","Valencia","","6812","1724476448"
"Riverside","Riverside","41.0319","-73.5827","United States","US","USA","Connecticut","","8604","1840026286"
"Corning","Corning","39.9282","-122.1820","United States","US","USA","California","","8604","1840018762"
"Mauléon","Mauleon","46.9228","-0.7497","France","FR","FRA","Nouvelle-Aquitaine","","8533","1250619307"
"Iksane","Iksane","35.1333","-3.0333","Morocco","MA","MAR","Oriental","","8417","1504090383"
"Geroskípou","Geroskipou","34.7609","32.4484","Cyprus","CY","CYP","Páfos","","7878","1196873140"
"Orrville","Orrville","40.8480","-81.7743","United States","US","USA","Ohio","","8603","1840009371"
"Niederwerrn","Niederwerrn","50.0667","10.1831","Germany","DE","DEU","Bavaria","","7804","1276785718"
"Na Yung","Na Yung","17.9142","102.2403","Thailand","TH","THA","Udon Thani","minor","8564","1764147446"
"Aigues-Mortes","Aigues-Mortes","43.5667","4.1925","France","FR","FRA","Occitanie","","8456","1250061893"
"Rāvinūtala","Ravinutala","15.7390","80.0800","India","IN","IND","Andhra Pradesh","","8279","1356556562"
"East Brandywine","East Brandywine","40.0364","-75.7505","United States","US","USA","Pennsylvania","","8601","1840149883"
"Japurá","Japura","-23.4700","-52.5528","Brazil","BR","BRA","Paraná","","8549","1076082629"
"Isperih","Isperih","43.7204","26.8281","Bulgaria","BG","BGR","Razgrad","","8545","1100443393"
"Itauçu","Itaucu","-16.2008","-49.6078","Brazil","BR","BRA","Goiás","","8575","1076365521"
"Ferrandina","Ferrandina","40.5000","16.4500","Italy","IT","ITA","Basilicata","","8593","1380483555"
"Riacho dos Cavalos","Riacho dos Cavalos","-6.4428","-37.6508","Brazil","BR","BRA","Paraíba","","8563","1076174255"
"Elsmere","Elsmere","38.9949","-84.6017","United States","US","USA","Kentucky","","8595","1840013167"
"Calvisano","Calvisano","45.3489","10.3458","Italy","IT","ITA","Lombardy","","8543","1380979757"
"Farmville","Farmville","37.2959","-78.4002","United States","US","USA","Virginia","","8594","1840006443"
"Schnaittach","Schnaittach","49.5592","11.3431","Germany","DE","DEU","Bavaria","","8423","1276694554"
"Wissen","Wissen","50.7825","7.7350","Germany","DE","DEU","Rhineland-Palatinate","","8354","1276756362"
"Bovezzo","Bovezzo","45.5833","10.2500","Italy","IT","ITA","Lombardy","","7433","1380947416"
"Bompas","Bompas","42.7311","2.9333","France","FR","FRA","Occitanie","","7310","1250515667"
"Tanquinho","Tanquinho","-11.9789","-39.1039","Brazil","BR","BRA","Bahia","","8553","1076001279"
"Ballsh","Ballsh","40.5991","19.7359","Albania","AL","ALB","Fier","","7657","1008709957"
"Feurs","Feurs","45.7408","4.2258","France","FR","FRA","Auvergne-Rhône-Alpes","","8252","1250821205"
"Saint-Maixent-l’École","Saint-Maixent-l'Ecole","46.4128","-0.2081","France","FR","FRA","Nouvelle-Aquitaine","","7209","1250320146"
"Long Hill","Long Hill","40.6838","-74.4878","United States","US","USA","New Jersey","","8590","1840081726"
"Sheridan","Sheridan","45.0960","-123.3983","United States","US","USA","Oregon","","8590","1840021220"
"Jauru","Jauru","-15.3419","-58.8658","Brazil","BR","BRA","Mato Grosso","","8582","1076111334"
"Bembibre","Bembibre","42.6154","-6.4170","Spain","ES","ESP","Castille-Leon","","8455","1724462153"
"Torre de Moncorvo","Torre de Moncorvo","41.2000","-7.1333","Portugal","PT","PRT","Bragança","minor","8572","1620001140"
"Sanatoga","Sanatoga","40.2498","-75.5886","United States","US","USA","Pennsylvania","","8588","1840035186"
"Bad Endorf","Bad Endorf","47.9000","12.3000","Germany","DE","DEU","Bavaria","","8377","1276605238"
"Borgentreich","Borgentreich","51.5692","9.2411","Germany","DE","DEU","North Rhine-Westphalia","","8523","1276811823"
"Cagli","Cagli","43.5470","12.6473","Italy","IT","ITA","Marche","","8546","1380043671"
"Birkenwerder","Birkenwerder","52.6833","13.2833","Germany","DE","DEU","Brandenburg","","8134","1276863904"
"Kalifornsky","Kalifornsky","60.4417","-151.1972","United States","US","USA","Alaska","","8581","1840023406"
"Kirk of Shotts","Kirk of Shotts","55.8230","-3.8040","United Kingdom","GB","GBR","North Lanarkshire","","8570","1826280322"
"Willowbrook","Willowbrook","41.7635","-87.9456","United States","US","USA","Illinois","","8579","1840011409"
"Rio das Flores","Rio das Flores","-22.1678","-43.5858","Brazil","BR","BRA","Rio de Janeiro","","8561","1076984547"
"Itamari","Itamari","-13.7778","-39.6839","Brazil","BR","BRA","Bahia","","8514","1076597787"
"Tekmāl","Tekmal","17.9700","78.0400","India","IN","IND","Telangana","","8212","1356072169"
"Doğubayazıt","Dogubayazit","39.5500","44.0833","Turkey","TR","TUR","Ağrı","minor","8523","1792572929"
"Verkhniy Mamon","Verkhniy Mamon","50.1678","40.3967","Russia","RU","RUS","Voronezhskaya Oblast’","","8561","1643662881"
"Springfield","Springfield","30.1713","-85.6089","United States","US","USA","Florida","","8577","1840015923"
"Green Cove Springs","Green Cove Springs","29.9904","-81.6807","United States","US","USA","Florida","","8577","1840013999"
"Solebury","Solebury","40.3676","-75.0031","United States","US","USA","Pennsylvania","","8577","1840101286"
"Caprino Veronese","Caprino Veronese","45.6000","10.8000","Italy","IT","ITA","Veneto","","8399","1380169646"
"Tarrafas","Tarrafas","-6.6839","-39.7608","Brazil","BR","BRA","Ceará","","8573","1076530122"
"White Horse","White Horse","40.1920","-74.7022","United States","US","USA","New Jersey","","8576","1840005475"
"Thames","Thames","-37.1383","175.5375","New Zealand","NZ","NZL","Waikato","","7293","1554802053"
"Cacalchen","Cacalchen","20.9822","-89.2278","Mexico","MX","MEX","Yucatán","","6787","1484727616"
"Perry Heights","Perry Heights","40.7977","-81.4680","United States","US","USA","Ohio","","8575","1840005201"
"Kellinghusen","Kellinghusen","53.9500","9.7167","Germany","DE","DEU","Schleswig-Holstein","","8142","1276296041"
"Pöytyä","Poytya","60.7167","22.6000","Finland","FI","FIN","Varsinais-Suomi","","8562","1246790283"
"Anahawan","Anahawan","10.2742","125.2584","Philippines","PH","PHL","Southern Leyte","","8429","1608142448"
"Berghom","Berghom","22.8687","88.7088","India","IN","IND","West Bengal","","6989","1356936517"
"Lake Villa","Lake Villa","42.4184","-88.0836","United States","US","USA","Illinois","","8573","1840011159"
"Colditz","Colditz","51.1167","12.8167","Germany","DE","DEU","Saxony","","8472","1276177121"
"Vijayapuri South","Vijayapuri South","16.5580","79.3090","India","IN","IND","Andhra Pradesh","","8393","1356818959"
"Guntersville","Guntersville","34.3670","-86.2638","United States","US","USA","Alabama","","8571","1840006456"
"Großkrotzenburg","Grosskrotzenburg","50.0833","8.9833","Germany","DE","DEU","Hesse","","7559","1276507378"
"Karmaskaly","Karmaskaly","54.3694","56.1778","Russia","RU","RUS","Bashkortostan","","8540","1643751700"
"Montvale","Montvale","41.0529","-74.0499","United States","US","USA","New Jersey","","8570","1840000906"
"Rümlang","Rumlang","47.4533","8.5331","Switzerland","CH","CHE","Zürich","","7929","1756957078"
"Aspen","Aspen","39.1950","-106.8369","United States","US","USA","Colorado","","8569","1840018813"
"Ione","Ione","38.3613","-120.9422","United States","US","USA","California","","8568","1840018851"
"Tryavna","Tryavna","42.8661","25.4919","Bulgaria","BG","BGR","Gabrovo","","8529","1100037989"
"Kampong Lambak","Kampong Lambak","4.9687","114.9458","Brunei","BN","BRN","Brunei and Muara","","7293","1096239365"
"Joane","Joane","41.4333","-8.4167","Portugal","PT","PRT","Braga","","7528","1620704080"
"Legazpia","Legazpia","43.0550","-2.3350","Spain","ES","ESP","Basque Country","","8367","1724737177"
"Litchfield","Litchfield","42.8430","-71.4550","United States","US","USA","New Hampshire","","8566","1840055112"
"Imuris","Imuris","30.7667","-110.8333","Mexico","MX","MEX","Sonora","minor","6924","1484234881"
"Sanluri","Sanluri","39.5611","8.9000","Italy","IT","ITA","Sardegna","minor","8464","1380893656"
"Konāda","Konada","18.0167","83.5667","India","IN","IND","Andhra Pradesh","","8071","1356031860"
"Brooksville","Brooksville","28.5404","-82.3903","United States","US","USA","Florida","","8564","1840014112"
"Bang Mun Nak","Bang Mun Nak","16.0278","100.3792","Thailand","TH","THA","Phichit","minor","8448","1764958140"
"Bühlertal","Buhlertal","48.6933","8.1786","Germany","DE","DEU","Baden-Württemberg","","8105","1276672337"
"Mourniés","Mournies","35.4850","24.0130","Greece","GR","GRC","Kríti","","7553","1300122496"
"Bestensee","Bestensee","52.2340","13.6307","Germany","DE","DEU","Brandenburg","","8344","1276932357"
"Brecon","Brecon","51.9480","-3.3910","United Kingdom","GB","GBR","Powys","","8250","1826444860"
"Riverside","Riverside","41.8310","-87.8169","United States","US","USA","Illinois","","8563","1840011287"
"Wyoming","Wyoming","39.2297","-84.4816","United States","US","USA","Ohio","","8562","1840001619"
"Staufen im Breisgau","Staufen im Breisgau","47.8814","7.7314","Germany","DE","DEU","Baden-Württemberg","","8209","1276961822"
"Alfonso Castañeda","Alfonso Castaneda","15.7940","121.3000","Philippines","PH","PHL","Nueva Vizcaya","","8539","1608693079"
"As","As","51.0000","5.5833","Belgium","BE","BEL","Flanders","","8190","1056635064"
"West Frankfort","West Frankfort","37.8997","-88.9301","United States","US","USA","Illinois","","8561","1840010833"
"Dīgnagar","Dignagar","23.4283","87.6976","India","IN","IND","West Bengal","","8313","1356362673"
"Novoselitskoye","Novoselitskoye","44.7508","43.4369","Russia","RU","RUS","Stavropol’skiy Kray","","8544","1643931504"
"Non Sang","Non Sang","16.8699","102.5640","Thailand","TH","THA","Nong Bua Lamphu","minor","8449","1764825861"
"Queimada Nova","Queimada Nova","-8.5789","-41.4189","Brazil","BR","BRA","Piauí","","8553","1076622675"
"Toro","Toro","41.5200","-5.3947","Spain","ES","ESP","Castille-Leon","","8532","1724525468"
"Iwaizumi","Iwaizumi","39.8431","141.7967","Japan","JP","JPN","Iwate","","8549","1392666013"
"Pochinok","Pochinok","54.4000","32.4500","Russia","RU","RUS","Smolenskaya Oblast’","","8545","1643214179"
"Sirmione","Sirmione","45.4694","10.6061","Italy","IT","ITA","Lombardy","","8243","1380492095"
"Indian Harbour Beach","Indian Harbour Beach","28.1530","-80.5976","United States","US","USA","Florida","","8557","1840015096"
"Helmbrechts","Helmbrechts","50.2368","11.7159","Germany","DE","DEU","Bavaria","","8413","1276467392"
"Lake Park","Lake Park","26.7998","-80.0680","United States","US","USA","Florida","","8556","1840017258"
"Lanco","Lanco","-39.4523","-72.7755","Chile","CL","CHL","Araucanía","","8521","1152703909"
"Sala Bolognese","Sala Bolognese","44.6303","11.2761","Italy","IT","ITA","Emilia-Romagna","","8372","1380481382"
"Murten","Murten","46.9281","7.1169","Switzerland","CH","CHE","Fribourg","","8222","1756274965"
"San Pablo Huitzo","San Pablo Huitzo","17.2764","-96.8825","Mexico","MX","MEX","Oaxaca","minor","7024","1484216451"
"Lucas","Lucas","33.0942","-96.5803","United States","US","USA","Texas","","8553","1840020656"
"Premnitz","Premnitz","52.5331","12.3331","Germany","DE","DEU","Brandenburg","","8368","1276708634"
"Piedmont","Piedmont","35.6784","-97.7528","United States","US","USA","Oklahoma","","8551","1840020422"
"Dubovskoye","Dubovskoye","47.4092","42.7575","Russia","RU","RUS","Rostovskaya Oblast’","minor","8544","1643298743"
"Krupki","Krupki","54.3250","29.1361","Belarus","BY","BLR","Minskaya Voblasts’","minor","8540","1112668114"
"Albano Sant’Alessandro","Albano Sant'Alessandro","45.6858","9.7678","Italy","IT","ITA","Lombardy","","8244","1380974052"
"Minusio","Minusio","46.1833","8.8167","Switzerland","CH","CHE","Ticino","","7303","1756625659"
"Franklin","Franklin","36.6831","-76.9386","United States","US","USA","Virginia","","8549","1840003876"
"Moritzburg","Moritzburg","51.1650","13.6794","Germany","DE","DEU","Saxony","","8368","1276137113"
"Itaquara","Itaquara","-13.4508","-39.9408","Brazil","BR","BRA","Bahia","","8519","1076089860"
"Herencia","Herencia","39.3500","-3.3667","Spain","ES","ESP","Castille-La Mancha","","8510","1724808176"
"Habo","Habo","57.9066","14.0856","Sweden","SE","SWE","Jönköping","minor","8516","1752321919"
"Bad Grund","Bad Grund","51.8089","10.2368","Germany","DE","DEU","Lower Saxony","","8344","1276583331"
"Obluchye","Obluchye","49.0000","131.0500","Russia","RU","RUS","Yevreyskaya Avtonomnaya Oblast’","","8540","1643987123"
"Jagannāthpur","Jagannathpur","25.3159","87.8785","India","IN","IND","West Bengal","","7310","1356304254"
"Yasnohirka","Yasnohirka","48.7725","37.5506","Ukraine","UA","UKR","Donets’ka Oblast’","","8034","1804898231"
"Bībīnagar","Bibinagar","17.4708","78.7946","India","IN","IND","Telangana","","8320","1356065877"
"Conover","Conover","35.7155","-81.2170","United States","US","USA","North Carolina","","8540","1840014522"
"Gingelom","Gingelom","50.7492","5.1328","Belgium","BE","BEL","Flanders","","8391","1056562548"
"Mamurras","Mamurras","41.5775","19.6922","Albania","AL","ALB","Lezhë","","8282","1008549519"
"Silly","Silly","50.6500","3.9167","Belgium","BE","BEL","Wallonia","","8407","1056623734"
"Wetumpka","Wetumpka","32.5407","-86.2052","United States","US","USA","Alabama","","8538","1840006013"
"Port-Saint-Louis-du-Rhône","Port-Saint-Louis-du-Rhone","43.3875","4.8044","France","FR","FRA","Provence-Alpes-Côte d’Azur","","8423","1250445231"
"Lößnitz","Lossnitz","50.6214","12.7317","Germany","DE","DEU","Saxony","","8267","1276284686"
"Vietri sul Mare","Vietri sul Mare","40.6722","14.7278","Italy","IT","ITA","Campania","","7726","1380728892"
"Ladysmith","Ladysmith","48.9975","-123.8203","Canada","CA","CAN","British Columbia","","8537","1124872385"
"Tuneiras do Oeste","Tuneiras do Oeste","-23.8708","-52.8758","Brazil","BR","BRA","Paraná","","8533","1076246454"
